OrderID,CustomerID,ProductID,OrderDate,ShippedDate,Quantity,PaymentMethod
S36,C173,P22,2025-11-17,2025-11-18,2,PalmPay
S37,C124,P26,2025-11-05,2025-11-14,1,OPay
S38,C75,P08,2025-03-08,2025-03-10,1,Debit Card
S39,C249,P44,2025-03-11,2025-03-16,5,Apple Pay
S40,C269,P42,2025-01-15,2025-01-21,1,Apple Pay
S41,C152,P44,2025-03-31,2025-04-07,1,Moniepoint
S42,C197,P43,2025-09-11,,4,USSD
S43,C280,P02,2025-01-14,,5,Apple Pay
S44,C296,P08,2025-08-01,2025-08-07,2,Moniepoint
S45,C06,P27,2025-03-15,2025-03-17,3,Bank Transfer
S46,C130,P69,2025-12-15,2025-12-24,2,Apple Pay
S47,C294,P43,2025-04-28,2025-05-03,4,Debit Card
S48,C09,P40,2025-11-30,2025-12-08,5,USSD
S49,C116,P68,2025-05-21,2025-05-22,5,Gift Card
S50,C30,P47,2025-03-19,,2,Kuda
S51,C229,P12,2025-01-15,2025-01-17,1,Paystack
S52,C157,P24,2025-05-13,,3,Google Pay
S53,C52,P23,2025-03-24,2025-03-30,2,Gift Card
S54,C294,P64,2025-04-20,2025-04-26,4,Gift Card
S55,C68,P04,2025-02-25,2025-02-26,1,Debit Card
S56,C204,P52,2025-12-12,,1,OPay
S57,C182,P53,2025-07-12,,2,PalmPay
S58,C86,P34,2025-12-30,2026-01-03,3,OPay
S59,C106,P55,2025-11-26,2025-12-04,2,Flutterwave
S60,C244,P62,2025-05-17,,2,USSD
S61,C94,P43,2025-01-03,2025-01-07,2,Bank Transfer
S62,C212,P58,2025-04-19,2025-04-23,3,PalmPay
S63,C239,P57,2025-04-04,2025-04-07,3,Apple Pay
S64,C06,P15,2025-03-19,,1,PayPal
S65,C273,P20,2025-09-15,2025-09-17,2,Gift Card
S66,C212,P12,2025-08-01,2025-08-08,3,PalmPay
S67,C186,P26,2025-11-18,2025-11-19,2,Paystack
S68,C187,P56,2025-12-24,2025-12-25,1,Bank Transfer
S69,C18,P15,2025-03-03,,2,Paystack
S70,C131,P23,2025-04-25,2025-04-28,5,Paystack
S71,C300,P68,2025-07-01,,1,Bank Transfer
S72,C289,P29,2025-02-07,2025-02-10,1,USSD
S73,C90,P06,2025-04-11,2025-04-18,5,Bank Transfer
S74,C88,P42,2025-12-19,2025-12-27,5,USSD
S75,C173,P53,2025-05-18,2025-05-24,5,Kuda
S76,C119,P20,2025-07-18,2025-07-25,2,Apple Pay
S77,C02,P65,2025-05-11,2025-05-18,2,OPay
S78,C208,P12,2025-11-14,2025-11-15,4,Google Pay
S79,C178,P57,2025-10-09,2025-10-17,5,PalmPay
S80,C149,P61,2025-09-19,2025-09-28,4,OPay
S81,C252,P49,2025-07-01,2025-07-08,5,USSD
S82,C195,P42,2025-02-06,2025-02-15,2,Flutterwave
S83,C234,P34,2025-08-31,,3,Paystack
S84,C186,P29,2025-03-14,2025-03-23,3,Paystack
S85,C66,P22,2025-07-07,2025-07-10,2,Apple Pay
S86,C144,P06,2025-06-14,2025-06-21,1,Kuda
S87,C54,P33,2025-07-12,2025-07-18,5,Paystack
S88,C99,P12,2025-05-21,2025-05-29,1,Gift Card
S89,C198,P23,2025-09-22,2025-09-25,3,Gift Card
S90,C161,P31,2025-11-15,2025-11-21,4,USSD
S91,C05,P26,2025-01-01,2025-01-02,5,PayPal
S92,C103,P70,2025-05-21,,3,OPay
S93,C88,P57,2025-02-16,2025-02-24,1,OPay
S94,C41,P38,2025-11-13,2025-11-14,4,Kuda
S95,C116,P38,2025-07-28,2025-08-07,3,Bank Transfer
S96,C75,P17,2025-11-13,2025-11-23,3,Moniepoint
S97,C209,P43,2025-02-06,2025-02-14,4,Kuda
S98,C162,P64,2025-11-26,2025-11-27,1,Flutterwave
S99,C182,P60,2025-12-25,,4,Gift Card
S100,C57,P09,2025-08-14,2025-08-17,5,Debit Card
S101,C252,P30,2025-04-13,2025-04-14,3,Paystack
S102,C108,P50,2025-08-24,2025-08-28,1,Flutterwave
S103,C250,P14,2025-09-12,2025-09-16,5,Gift Card
S104,C14,P26,2025-12-31,2026-01-01,5,Google Pay
S105,C229,P18,2025-07-28,2025-07-31,3,Bank Transfer
S106,C62,P01,2025-04-06,,3,Paystack
S107,C88,P41,2025-07-16,2025-07-21,5,Kuda
S108,C159,P54,2025-12-15,2025-12-20,2,Kuda
S109,C247,P70,2025-05-12,2025-05-15,1,OPay
S110,C165,P48,2025-08-26,2025-09-05,2,Bank Transfer
S111,C277,P44,2025-04-13,2025-04-22,1,Google Pay
S112,C105,P69,2025-02-04,2025-02-14,3,PalmPay
S113,C91,P57,2025-05-30,2025-06-03,5,Flutterwave
S114,C139,P57,2025-04-15,,1,PayPal
S115,C133,P16,2025-01-26,2025-01-28,5,Gift Card
S116,C57,P22,2025-09-13,2025-09-18,2,Paystack
S117,C257,P19,2025-04-16,2025-04-24,1,OPay
S118,C239,P07,2025-08-01,2025-08-06,4,Apple Pay
S119,C130,P08,2025-12-23,2025-12-26,4,USSD
S120,C230,P41,2025-12-28,2025-12-31,3,USSD
S121,C106,P28,2025-03-19,,2,Kuda
S122,C291,P42,2025-07-14,2025-07-19,2,Apple Pay
S123,C171,P12,2025-04-12,2025-04-15,4,Bank Transfer
S124,C211,P15,2025-01-20,,1,Apple Pay
S125,C276,P68,2025-09-27,2025-10-05,3,PalmPay
S126,C229,P64,2025-02-17,2025-02-22,3,Flutterwave
S127,C186,P12,2025-04-14,2025-04-19,2,Flutterwave
S128,C276,P05,2025-10-25,2025-10-26,3,OPay
S129,C280,P39,2025-01-26,2025-02-01,4,Gift Card
S130,C84,P47,2025-04-02,2025-04-07,1,Google Pay
S131,C179,P13,2025-10-10,2025-10-13,5,Kuda
S132,C144,P05,2025-01-21,2025-01-23,4,Apple Pay
S133,C216,P54,2025-10-23,,1,Bank Transfer
S134,C226,P21,2025-07-04,2025-07-06,3,PalmPay
S135,C257,P62,2025-06-05,2025-06-07,1,OPay
S136,C35,P64,2025-05-19,2025-05-21,3,Gift Card
S137,C83,P69,2025-01-22,2025-01-28,2,USSD
S138,C125,P27,2025-03-07,,5,Paystack
S139,C75,P13,2025-01-08,2025-01-09,4,Debit Card
S140,C244,P27,2025-12-19,2025-12-21,2,PayPal
S141,C257,P04,2025-08-06,2025-08-15,1,USSD
S142,C182,P16,2025-02-13,2025-02-17,2,OPay
S143,C187,P66,2025-12-30,2026-01-03,1,Flutterwave
S144,C110,P13,2025-01-22,2025-01-25,3,Bank Transfer
S145,C24,P60,2025-10-31,,1,Bank Transfer
S146,C280,P53,2025-07-28,2025-08-01,2,Google Pay
S147,C159,P22,2025-03-19,2025-03-22,2,OPay
S148,C276,P43,2025-12-29,,1,Debit Card
S149,C269,P05,2025-09-12,2025-09-18,1,Debit Card
S150,C192,P09,2025-04-12,,1,Bank Transfer
S151,C242,P12,2025-11-30,2025-12-06,5,PayPal
S152,C247,P64,2025-12-11,2025-12-19,2,USSD
S153,C254,P39,2025-01-28,2025-02-07,2,Kuda
S154,C119,P66,2025-06-03,2025-06-13,5,Apple Pay
S155,C281,P15,2025-02-04,,3,Debit Card
S156,C257,P30,2025-05-03,2025-05-11,5,OPay
S157,C269,P07,2025-07-20,2025-07-27,3,Kuda
S158,C126,P12,2025-04-27,2025-05-03,5,Kuda
S159,C244,P01,2025-06-03,2025-06-04,1,Debit Card
S160,C149,P53,2025-11-06,2025-11-09,3,Paystack
S161,C68,P46,2025-07-21,,5,PalmPay
S162,C98,P12,2025-05-19,2025-05-27,4,Apple Pay
S163,C165,P31,2025-03-03,2025-03-04,4,PayPal
S164,C120,P43,2025-03-19,2025-03-23,3,Flutterwave
S165,C269,P51,2025-06-07,2025-06-16,5,OPay
S166,C262,P21,2025-07-20,2025-07-21,2,Moniepoint
S167,C280,P59,2025-10-17,2025-10-22,3,Apple Pay
S168,C31,P66,2025-12-08,2025-12-13,4,Moniepoint
S169,C159,P43,2025-08-16,2025-08-21,3,USSD
S170,C208,P49,2025-09-25,2025-09-26,4,Gift Card
S171,C116,P03,2025-01-30,,1,Paystack
S172,C118,P40,2025-09-20,,5,Google Pay
S173,C143,P42,2025-09-05,2025-09-10,2,OPay
S174,C186,P66,2025-01-24,,2,Google Pay
S175,C186,P36,2025-11-18,2025-11-23,5,PalmPay
S176,C130,P53,2025-11-29,2025-12-06,4,Google Pay
S177,C116,P36,2025-06-15,2025-06-25,4,PalmPay
S178,C246,P45,2025-03-13,2025-03-14,2,USSD
S179,C227,P22,2025-12-15,2025-12-16,5,USSD
S180,C291,P47,2025-12-22,2025-12-27,4,OPay
S181,C196,P57,2025-07-26,2025-07-31,3,Kuda
S182,C105,P61,2025-05-17,2025-05-27,4,Paystack
S183,C257,P21,2025-06-11,2025-06-16,5,Gift Card
S184,C208,P53,2025-02-09,2025-02-15,4,Paystack
S185,C248,P16,2025-05-13,2025-05-14,1,Paystack
S186,C253,P40,2025-07-01,2025-07-07,3,OPay
S187,C270,P13,2025-11-05,2025-11-12,1,USSD
S188,C55,P23,2025-11-21,2025-11-23,4,Kuda
S189,C257,P44,2025-07-24,2025-07-30,3,PayPal
S190,C221,P19,2025-09-30,2025-10-07,3,PayPal
S191,C68,P09,2025-07-31,2025-08-01,5,Apple Pay
S192,C74,P56,2025-07-26,2025-07-31,2,PayPal
S193,C73,P31,2025-09-14,2025-09-19,1,Google Pay
S194,C289,P49,2025-05-28,2025-06-04,5,USSD
S195,C221,P66,2025-05-20,2025-05-24,3,Moniepoint
S196,C116,P11,2025-07-04,2025-07-13,1,Moniepoint
S197,C257,P42,2025-04-22,2025-04-25,4,USSD
S198,C157,P58,2025-10-30,2025-10-31,1,Paystack
S199,C253,P15,2025-09-05,2025-09-11,3,Paystack
S200,C182,P28,2025-10-12,2025-10-16,3,Debit Card
S201,C185,P04,2025-04-25,2025-04-26,5,USSD
S202,C130,P09,2025-11-19,2025-11-21,5,Moniepoint
S203,C124,P66,2025-10-29,2025-10-30,3,Paystack
S204,C108,P33,2025-02-06,2025-02-16,2,Kuda
S205,C137,P59,2025-04-08,2025-04-12,1,Kuda
S206,C55,P25,2025-02-09,2025-02-18,1,Gift Card
S207,C239,P26,2025-05-16,2025-05-21,1,Google Pay
S208,C225,P03,2025-02-02,2025-02-09,1,Apple Pay
S209,C225,P69,2025-05-16,2025-05-19,5,Apple Pay
S210,C105,P46,2025-06-06,2025-06-09,3,Kuda
S211,C271,P59,2025-02-22,2025-02-25,3,Debit Card
S212,C270,P63,2025-02-12,,3,Gift Card
S213,C271,P17,2025-02-25,2025-03-02,5,Kuda
S214,C68,P33,2025-12-03,2025-12-07,3,Paystack
S215,C134,P50,2025-03-24,2025-03-31,2,PayPal
S216,C05,P28,2025-10-27,2025-10-28,1,Debit Card
S217,C26,P06,2025-04-15,,5,Moniepoint
S218,C262,P44,2025-11-16,2025-11-24,4,Debit Card
S219,C203,P27,2025-01-04,2025-01-10,4,Moniepoint
S220,C29,P17,2025-04-13,2025-04-23,5,Apple Pay
S221,C212,P57,2025-02-04,2025-02-05,4,PayPal
S222,C124,P31,2025-11-29,2025-12-07,5,PayPal
S223,C36,P64,2025-11-03,2025-11-07,2,PalmPay
S224,C121,P29,2025-11-21,2025-11-22,2,Moniepoint
S225,C272,P26,2025-01-01,2025-01-02,4,OPay
S226,C280,P29,2025-12-11,2025-12-20,5,Kuda
S227,C88,P20,2025-08-28,2025-08-30,1,PayPal
S228,C50,P68,2025-03-25,2025-03-31,1,Paystack
S229,C242,P49,2025-01-02,2025-01-03,5,Apple Pay
S230,C251,P65,2025-10-15,2025-10-25,5,Moniepoint
S231,C219,P70,2025-11-11,2025-11-18,1,Paystack
S232,C228,P04,2025-04-06,,4,OPay
S233,C39,P27,2025-12-10,2025-12-12,5,Moniepoint
S234,C172,P46,2025-12-13,2025-12-17,1,Moniepoint
S235,C116,P39,2025-06-08,2025-06-11,4,Flutterwave
S236,C185,P43,2025-04-09,2025-04-11,1,Moniepoint
S237,C212,P28,2025-09-24,2025-10-01,5,Flutterwave
S238,C204,P11,2025-01-12,,1,Apple Pay
S239,C212,P56,2025-01-29,2025-02-03,4,USSD
S240,C219,P33,2025-06-03,,1,Bank Transfer
S241,C119,P21,2025-08-15,2025-08-23,5,Debit Card
S242,C300,P42,2025-05-21,2025-05-22,4,Paystack
S243,C06,P30,2025-10-06,,3,PalmPay
S244,C236,P31,2025-06-25,2025-07-04,2,Moniepoint
S245,C11,P41,2025-08-06,2025-08-12,1,Paystack
S246,C39,P59,2025-03-24,2025-03-25,5,OPay
S247,C280,P53,2025-09-23,2025-09-25,2,OPay
S248,C95,P02,2025-05-14,2025-05-16,2,Flutterwave
S249,C134,P22,2025-12-20,,3,Debit Card
S250,C120,P44,2025-05-12,,1,Google Pay
S251,C268,P34,2025-11-13,,5,PayPal
S252,C207,P09,2025-12-22,2025-12-24,1,Google Pay
S253,C20,P02,2025-02-07,2025-02-10,5,Moniepoint
S254,C225,P66,2025-12-19,,4,PayPal
S255,C271,P33,2025-06-05,2025-06-08,4,Google Pay
S256,C269,P59,2025-06-25,2025-06-29,1,Kuda
S257,C254,P29,2025-02-24,,3,Apple Pay
S258,C110,P02,2025-04-08,2025-04-10,2,Debit Card
S259,C208,P40,2025-12-05,2025-12-06,2,Gift Card
S260,C29,P08,2025-07-16,2025-07-18,5,Flutterwave
S261,C73,P09,2025-06-01,2025-06-04,3,Bank Transfer
S262,C165,P23,2025-03-12,2025-03-17,3,Bank Transfer
S263,C55,P15,2025-05-08,,2,USSD
S264,C231,P04,2025-04-25,2025-04-29,4,Bank Transfer
S265,C75,P61,2025-05-15,,1,Moniepoint
S266,C208,P48,2025-05-01,2025-05-09,4,Gift Card
S267,C34,P59,2025-10-12,2025-10-14,4,Moniepoint
S268,C150,P23,2025-04-29,2025-04-30,1,OPay
S269,C20,P47,2025-08-16,2025-08-22,5,PalmPay
S270,C20,P29,2025-09-05,2025-09-15,5,Kuda
S271,C33,P56,2025-09-26,2025-10-05,2,Paystack
S272,C268,P28,2025-02-21,2025-02-26,4,Gift Card
S273,C239,P17,2025-02-08,2025-02-14,1,OPay
S274,C94,P47,2025-02-04,2025-02-12,4,USSD
S275,C57,P02,2025-11-18,2025-11-27,1,Apple Pay
S276,C147,P05,2025-10-03,2025-10-11,5,PayPal
S277,C204,P19,2025-07-18,2025-07-24,1,Bank Transfer
S278,C207,P24,2025-12-25,2026-01-04,4,Google Pay
S279,C24,P28,2025-01-19,2025-01-22,2,USSD
S280,C229,P26,2025-02-03,2025-02-06,1,Bank Transfer
S281,C282,P30,2025-02-03,2025-02-12,4,Apple Pay
S282,C300,P28,2025-04-09,,2,USSD
S283,C300,P59,2025-05-19,2025-05-25,1,Kuda
S284,C57,P53,2025-12-09,2025-12-19,3,Debit Card
S285,C55,P01,2025-03-21,2025-03-26,5,Gift Card
S286,C149,P50,2025-03-12,2025-03-21,1,USSD
S287,C285,P20,2025-03-12,,2,Flutterwave
S288,C106,P08,2025-03-27,2025-03-30,1,Flutterwave
S289,C251,P53,2025-05-10,,2,PayPal
S290,C285,P35,2025-12-31,2026-01-01,4,Moniepoint
S291,C288,P38,2025-02-06,2025-02-09,2,Kuda
S292,C20,P49,2025-06-03,2025-06-12,5,Moniepoint
S293,C135,P64,2025-12-03,2025-12-09,5,Paystack
S294,C62,P10,2025-10-31,,5,Kuda
S295,C57,P33,2025-11-26,2025-12-02,5,USSD
S296,C211,P10,2025-12-25,2026-01-04,4,OPay
S297,C209,P02,2025-08-16,2025-08-19,4,Bank Transfer
S298,C242,P30,2025-08-09,2025-08-13,5,Kuda
S299,C125,P18,2025-04-30,2025-05-06,4,Apple Pay
S300,C153,P47,2025-03-07,,2,USSD
S301,C34,P66,2025-03-11,,5,Kuda
S302,C204,P61,2025-10-26,2025-11-01,5,Paystack
S303,C114,P56,2025-06-11,2025-06-19,1,Apple Pay
S304,C211,P21,2025-07-21,2025-07-26,5,Apple Pay
S305,C66,P32,2025-12-27,2025-12-31,3,Debit Card
S306,C258,P33,2025-03-25,,5,Gift Card
S307,C258,P06,2025-04-12,,5,Paystack
S308,C126,P35,2025-01-15,2025-01-16,2,Moniepoint
S309,C216,P01,2025-03-30,2025-04-04,2,PalmPay
S310,C06,P11,2025-02-15,,2,Gift Card
S311,C110,P67,2025-06-28,2025-07-05,4,USSD
S312,C109,P11,2025-05-16,2025-05-18,1,Flutterwave
S313,C13,P34,2025-03-09,2025-03-15,3,Paystack
S314,C153,P25,2025-11-06,,5,Debit Card
S315,C13,P20,2025-12-21,2025-12-26,1,OPay
S316,C104,P10,2025-08-30,2025-09-09,2,OPay
S317,C246,P58,2025-08-28,2025-09-01,5,Moniepoint
S318,C252,P61,2025-10-17,2025-10-18,2,Flutterwave
S319,C69,P59,2025-05-04,2025-05-13,4,Paystack
S320,C164,P08,2025-01-16,2025-01-17,2,Paystack
S321,C96,P59,2025-11-11,2025-11-14,2,USSD
S322,C300,P34,2025-03-09,2025-03-13,4,Debit Card
S323,C110,P40,2025-07-23,2025-07-28,1,Debit Card
S324,C194,P12,2025-05-31,2025-06-09,2,PayPal
S325,C57,P32,2025-08-25,2025-08-31,1,Debit Card
S326,C157,P67,2025-07-05,2025-07-13,5,USSD
S327,C239,P14,2025-12-04,2025-12-11,4,Gift Card
S328,C20,P66,2025-04-24,2025-05-02,4,Debit Card
S329,C218,P69,2025-08-17,2025-08-23,5,PalmPay
S330,C31,P59,2025-02-14,2025-02-19,2,PalmPay
S331,C262,P17,2025-02-02,2025-02-12,1,USSD
S332,C208,P44,2025-08-12,2025-08-15,4,Google Pay
S333,C28,P07,2025-01-17,2025-01-20,5,Moniepoint
S334,C216,P41,2025-03-25,2025-04-04,4,PayPal
S335,C75,P50,2025-08-07,2025-08-13,1,OPay
S336,C142,P15,2025-02-16,2025-02-23,4,OPay
S337,C285,P37,2025-08-27,2025-08-31,2,Google Pay
S338,C62,P63,2025-02-24,,5,Bank Transfer
S339,C247,P04,2025-05-11,2025-05-14,5,Bank Transfer
S340,C105,P44,2025-12-16,2025-12-23,1,PalmPay
S341,C267,P45,2025-01-06,2025-01-11,5,PalmPay
S342,C271,P42,2025-04-27,,3,Bank Transfer
S343,C99,P46,2025-07-21,2025-07-23,2,PalmPay
S344,C272,P53,2025-11-22,2025-12-02,2,Apple Pay
S345,C247,P22,2025-03-19,2025-03-24,5,Apple Pay
S346,C106,P56,2025-06-07,2025-06-16,3,Apple Pay
S347,C251,P45,2025-03-30,,2,Google Pay
S348,C268,P70,2025-12-01,,5,Gift Card
S349,C281,P61,2025-08-25,2025-08-29,3,Bank Transfer
S350,C84,P13,2025-03-02,2025-03-03,1,OPay
S351,C117,P09,2025-09-12,2025-09-16,4,Apple Pay
S352,C125,P62,2025-07-13,2025-07-23,4,Bank Transfer
S353,C271,P40,2025-06-30,2025-07-02,5,Flutterwave
S354,C300,P67,2025-02-05,2025-02-12,1,Apple Pay
S355,C73,P27,2025-07-05,2025-07-07,5,PalmPay
S356,C144,P56,2025-01-13,2025-01-20,1,PayPal
S357,C162,P66,2025-07-02,2025-07-12,1,OPay
S358,C116,P56,2025-03-22,2025-03-24,4,OPay
S359,C108,P43,2025-09-21,2025-09-24,4,Paystack
S360,C229,P02,2025-12-09,,5,Kuda
S361,C300,P22,2025-04-04,2025-04-13,1,Flutterwave
S362,C116,P08,2025-04-17,2025-04-26,2,Paystack
S363,C144,P20,2025-10-14,2025-10-17,4,Debit Card
S364,C09,P18,2025-11-05,2025-11-15,3,OPay
S365,C130,P66,2025-11-18,2025-11-20,1,Debit Card
S366,C111,P22,2025-05-02,2025-05-06,5,PayPal
S367,C74,P23,2025-04-14,,1,Google Pay
S368,C144,P28,2025-05-20,,4,Paystack
S369,C13,P01,2025-08-15,,1,Debit Card
S370,C182,P54,2025-03-14,2025-03-17,2,Paystack
S371,C110,P32,2025-04-12,2025-04-19,3,Flutterwave
S372,C134,P40,2025-03-24,2025-04-01,1,PayPal
S373,C62,P41,2025-03-05,2025-03-08,4,Gift Card
S374,C257,P63,2025-08-31,,4,Paystack
S375,C65,P66,2025-03-16,2025-03-20,1,Bank Transfer
S376,C216,P09,2025-07-26,2025-08-02,3,Bank Transfer
S377,C218,P51,2025-11-27,2025-12-07,5,PalmPay
S378,C11,P62,2025-07-01,2025-07-08,4,Flutterwave
S379,C98,P01,2025-12-18,2025-12-24,4,Debit Card
S380,C108,P29,2025-06-24,2025-06-27,5,Paystack
S381,C125,P24,2025-05-27,2025-05-28,5,Bank Transfer
S382,C247,P57,2025-09-11,2025-09-20,1,Bank Transfer
S383,C173,P42,2025-11-24,,1,Bank Transfer
S384,C86,P34,2025-01-09,2025-01-16,1,Bank Transfer
S385,C248,P69,2025-01-07,2025-01-13,3,Gift Card
S386,C54,P49,2025-01-12,2025-01-16,1,Google Pay
S387,C247,P19,2025-06-09,2025-06-10,4,USSD
S388,C39,P14,2025-03-15,2025-03-17,2,Kuda
S389,C257,P06,2025-09-12,,4,Kuda
S390,C27,P23,2025-11-02,2025-11-07,1,Moniepoint
S391,C14,P16,2025-01-20,2025-01-23,1,Gift Card
S392,C55,P24,2025-04-12,2025-04-16,3,Moniepoint
S393,C293,P56,2025-06-16,2025-06-21,4,OPay
S394,C150,P04,2025-12-11,2025-12-14,2,PayPal
S395,C271,P45,2025-11-17,2025-11-18,4,Paystack
S396,C197,P05,2025-08-14,2025-08-24,1,Gift Card
S397,C134,P03,2025-11-04,2025-11-11,5,PayPal
S398,C263,P67,2025-03-14,2025-03-21,2,Google Pay
S399,C204,P65,2025-12-26,2025-12-27,3,Kuda
S400,C218,P25,2025-10-19,2025-10-26,3,Gift Card
S401,C285,P21,2025-06-11,,2,USSD
S402,C300,P28,2025-12-07,2025-12-08,5,Google Pay
S403,C106,P34,2025-11-09,2025-11-19,5,Gift Card
S404,C282,P11,2025-09-09,,1,PayPal
S405,C131,P11,2025-10-21,2025-10-26,5,Paystack
S406,C131,P01,2025-02-14,2025-02-17,1,Kuda
S407,C92,P15,2025-11-07,,4,Google Pay
S408,C248,P11,2025-08-18,2025-08-20,1,Gift Card
S409,C256,P39,2025-04-20,2025-04-25,3,Debit Card
S410,C117,P66,2025-09-14,,4,Debit Card
S411,C183,P36,2025-08-22,2025-08-28,4,Apple Pay
S412,C282,P61,2025-03-02,2025-03-05,3,PalmPay
S413,C192,P70,2025-03-09,2025-03-16,2,USSD
S414,C248,P05,2025-08-16,2025-08-18,1,Debit Card
S415,C271,P05,2025-04-21,2025-04-29,1,Google Pay
S416,C96,P24,2025-03-11,2025-03-13,2,Paystack
S417,C87,P22,2025-03-25,,2,Gift Card
S418,C262,P29,2025-05-09,2025-05-10,2,PayPal
S419,C272,P39,2025-02-02,2025-02-11,5,Gift Card
S420,C68,P54,2025-08-29,2025-08-30,4,OPay
S421,C207,P62,2025-09-29,,3,PayPal
S422,C161,P16,2025-10-11,2025-10-14,2,Gift Card
S423,C146,P35,2025-10-16,2025-10-25,4,Debit Card
S424,C291,P43,2025-03-25,2025-03-27,3,Kuda
S425,C285,P18,2025-09-13,2025-09-19,4,Flutterwave
S426,C173,P41,2025-01-15,2025-01-23,1,USSD
S427,C139,P48,2025-10-16,2025-10-22,4,Apple Pay
S428,C65,P23,2025-07-04,2025-07-08,3,USSD
S429,C289,P32,2025-12-30,,1,Kuda
S430,C04,P10,2025-04-16,2025-04-18,2,Apple Pay
S431,C33,P37,2025-02-21,,5,Google Pay
S432,C209,P35,2025-01-26,,1,USSD
S433,C105,P02,2025-09-21,2025-10-01,5,PayPal
S434,C05,P26,2025-04-02,,2,Moniepoint
S435,C68,P16,2025-05-17,2025-05-26,3,Apple Pay
S436,C288,P52,2025-12-24,2026-01-03,4,Moniepoint
S437,C255,P35,2025-09-21,2025-09-27,1,PalmPay
S438,C300,P55,2025-11-16,2025-11-23,2,Bank Transfer
S439,C225,P18,2025-07-03,,3,USSD
S440,C168,P21,2025-03-22,2025-03-24,5,Debit Card
S441,C246,P21,2025-06-08,2025-06-18,1,Paystack
S442,C155,P60,2025-10-06,2025-10-07,2,Kuda
S443,C45,P01,2025-05-04,,3,OPay
S444,C238,P62,2025-10-29,2025-11-04,4,Debit Card
S445,C11,P07,2025-08-20,,2,PalmPay
S446,C194,P24,2025-04-12,2025-04-14,3,Debit Card
S447,C26,P11,2025-08-05,2025-08-07,5,Debit Card
S448,C280,P32,2025-12-18,2025-12-23,4,Bank Transfer
S449,C277,P14,2025-12-28,2025-12-31,5,PalmPay
S450,C155,P21,2025-11-17,2025-11-22,5,PalmPay
S451,C110,P14,2025-09-24,2025-09-28,5,Kuda
S452,C56,P27,2025-08-10,2025-08-18,1,OPay
S453,C272,P01,2025-12-26,2026-01-02,1,OPay
S454,C126,P69,2025-12-18,2025-12-24,3,OPay
S455,C88,P43,2025-04-24,2025-05-01,4,Moniepoint
S456,C54,P10,2025-01-30,2025-02-04,1,Kuda
S457,C157,P63,2025-05-10,2025-05-18,5,Debit Card
S458,C135,P09,2025-10-29,2025-11-06,2,PayPal
S459,C20,P56,2025-03-07,2025-03-08,2,Flutterwave
S460,C295,P06,2025-02-08,2025-02-14,2,PalmPay
S461,C70,P35,2025-06-28,2025-07-04,4,Google Pay
S462,C253,P21,2025-08-13,2025-08-14,2,Moniepoint
S463,C168,P56,2025-05-01,2025-05-04,3,Google Pay
S464,C35,P49,2025-02-17,2025-02-18,2,PalmPay
S465,C268,P11,2025-06-06,,3,Google Pay
S466,C242,P57,2025-11-26,2025-12-06,5,OPay
S467,C104,P27,2025-09-05,2025-09-08,3,Bank Transfer
S468,C158,P29,2025-11-14,2025-11-23,2,Paystack
